customer_lifetime_value,income,monthly_premium_auto,months_since_last_claim,months_since_policy_inception,number_of_open_complaints,number_of_policies,total_claim_amount,state,response,coverage,education,employment_status,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Month,Day
6979.535903,0,94,13,42,0,8,1131.464935,Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,L3,3,Agent,Four-Door Car,Medsize,January,Monday
12887.43165,48767,108,18,38,0,2,566.472247,Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal Auto,L3,1,Agent,Two-Door Car,Medsize,February,Saturday
7645.861827,0,106,18,65,0,7,529.881344,California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate Auto,L2,1,Call Center,SUV,Medsize,January,Thursday
2813.692575,43836,73,12,44,0,1,138.130879,Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,L1,1,Agent,Four-Door Car,Medsize,February,Thursday
8256.2978,62902,69,14,94,0,2,159.383042,Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,L3,2,Web,Two-Door Car,Medsize,January,Tuesday
5380.898636,55350,67,0,13,0,9,321.6,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,February,Thursday
7216.100311,0,101,0,68,0,4,363.02968,Arizona,No,Premium,Master or above,Unemployed,M,Urban,Single,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,January,Tuesday
24127.50402,14072,71,13,3,0,2,511.2,Oregon,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Corporate Auto,L3,1,Agent,Four-Door Car,Medsize,January,Wednesday
7388.178085,28812,93,17,7,0,8,425.527834,Oregon,No,Extended,College,Employed,F,Urban,Married,Special Auto,L2,2,Branch,Four-Door Car,Medsize,February,Thursday
4738.992022,0,67,23,5,0,3,482.4,California,No,Basic,College,Unemployed,M,Suburban,Single,Personal Auto,L3,1,Agent,Four-Door Car,Small,February,Monday
8197.197078,0,110,27,87,0,3,528.0,California,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,L3,2,Agent,SUV,Medsize,January,Thursday
8798.797003,77026,110,9,82,2,3,472.029737,California,No,Premium,Master or above,Employed,M,Urban,Married,Corporate Auto,L1,2,Agent,Four-Door Car,Medsize,February,Sunday
8819.018934,99845,110,23,25,1,8,528.0,Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,L3,2,Branch,SUV,Medsize,January,Monday
5384.431665,83689,70,21,10,2,8,307.139132,California,No,Basic,College,Employed,M,Urban,Single,Corporate Auto,L3,4,Call Center,Four-Door Car,Medsize,January,Tuesday
7463.139377,24599,64,12,50,1,2,42.920271,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate Auto,L2,2,Branch,Four-Door Car,Medsize,January,Monday
2566.867823,25049,67,14,7,0,1,454.245098,Nevada,No,Basic,High School or Below,Medical Leave,M,Suburban,Married,Personal Auto,L3,2,Call Center,Two-Door Car,Medsize,February,Sunday
3945.241604,28855,101,12,59,0,1,647.442031,California,No,Basic,College,Medical Leave,M,Suburban,Married,Personal Auto,L2,3,Call Center,SUV,Medsize,January,Wednesday
5710.333115,51148,72,9,1,0,7,308.981664,Oregon,No,Basic,College,Employed,M,Urban,Married,Personal Auto,L2,2,Branch,Four-Door Car,Medsize,February,Sunday
8162.617053,66140,101,11,21,0,3,484.8,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,L2,1,Call Center,Four-Door Car,Small,January,Friday
2872.051273,57749,74,31,21,0,1,355.2,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,L2,1,Branch,Two-Door Car,Medsize,February,Saturday
3041.791561,13789,79,8,49,0,1,379.2,Washington,No,Extended,Bachelor,Disabled,F,Suburban,Divorced,Personal Auto,L3,4,Call Center,Four-Door Car,Medsize,January,Friday
24127.50402,14072,71,13,3,0,2,511.2,Arizona,Yes,Basic,Bachelor,Medical Leave,M,Suburban,Divorced,Personal Auto,L3,1,Agent,Four-Door Car,Medsize,January,Wednesday
2450.190996,0,73,4,44,3,1,554.376763,Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,L3,1,Branch,Four-Door Car,Medsize,February,Thursday
2392.10789,17870,61,30,91,0,1,439.2,California,No,Basic,Bachelor,Disabled,F,Suburban,Married,Corporate Auto,L2,2,Branch,Four-Door Car,Medsize,February,Saturday
